,station,filename,station_long_name
0,RSAC155,plot_RSAC155.png,Sacramento River at Freeport
1,RSAC128,plot_RSAC128.png,Sacramento River at Upstream of DCC
2,RSAC101,plot_RSAC101.png,Sacramento River at Rio Vista
3,SLTRM004,plot_SLTRM004.png,Three Mile Slough
4,BRANNAN,plot_BRANNAN.png,Brannan Island
5,RSAC092,plot_RSAC092.png,Sacramento River at Emmaton
6,RSAC081,plot_RSAC081.png,Sacramento River at Collinsville
7,RSAC075,plot_RSAC075.png,Sacramento River at Mallard Island
8,RSAC064,plot_RSAC064.png,Sacramento River at Port Chicago
9,RSAC054,plot_RSAC054.png,Martinez
10,RSAN112,plot_RSAN112.png,San Joaquin River at Vernalis
11,RSAN087,plot_RSAN087.png,San Joaquin River at Mossdale
12,RSAN072,plot_RSAN072.png,San Joaquin River at Brandt Bridge
13,RSAN058,plot_RSAN058.png,Stockton Deep Water Ship Channel
14,STOCK_INTAKE,plot_STOCK_INTAKE.png,Stockton Intake
15,RSAN046,plot_RSAN046.png,San Joaquin River between Turner & Columbia Cut
16,RSAN037,plot_RSAN037.png,San Joaquin River at Prisoners Point
17,RSAN032,plot_RSAN032.png,San Joaquin River at San Andreas Landing
18,RSAN018,plot_RSAN018.png,San Joaquin River at Jersey Point
19,RSAN007,plot_RSAN007.png,San Joaquin River at Antioch
20,RSMKL008,plot_RSMKL008.png,South Fork Mokelumne River at Terminous
21,RMKL005,plot_RMKL005.png,Mokelumne River
22,ROLD024,plot_ROLD024.png,Old River at Rock Slough
23,RMID015,plot_RMID015.png,Middle River at Bacon Island
24,ROLD034,plot_ROLD034.png,Old River at Highway 4
25,ROLD059,plot_ROLD059.png,Old River at Tracy Road
26,OLD_MID,plot_OLD_MID.png,Old River near Middle River
27,CHGRL009,plot_CHGRL009.png,Grant Line Canal
28,CHVCT000,plot_CHVCT000.png,Victoria Canal near Byron
29,CHSWP003,plot_CHSWP003.png,Old River at Clifton Court Forebay
30,CLIFTONCOURT,plot_CLIFTONCOURT.png,Clifton Court Forebay
31,CHDMC006,plot_CHDMC006.png,Delta Mendota Canal at Tracy Pumping Plant
32,SLMZU011,plot_SLMZU011.png,Beldon Landing
33,SLMZU025,plot_SLMZU025.png,National Steel
34,SLCBN002,plot_SLCBN002.png,Sunrise Duck Club
35,SLSUS012,plot_SLSUS012.png,Volanti
36,SLBAR002,plot_SLBAR002.png,Barker Slough
37,SLCCH016,plot_SLCCH016.png,Cache Slough
